2025-02-18 22:31:01,130 [DEBUG] views - Processing hotel: Hotel Zelos San Francisco | Location: (37.78532, -122.40551)
2025-02-18 22:31:01,130 [DEBUG] views - Processing hotel: The Cartwright Hotel - Union Square, BW Premier Collection | Location: (37.78929, -122.40918)
2025-02-18 22:31:01,130 [DEBUG] views - Processing hotel: Four Seasons Hotel San Francisco | Location: (37.78634, -122.40425)
2025-02-18 22:31:01,130 [DEBUG] views - Processing hotel: The Mosser | Location: (37.78501, -122.40516)
2025-02-18 22:31:01,130 [DEBUG] views - Processing hotel: HOLIDAY INN GOLDEN GATEWAY | Location: (37.78992, -122.42193)
2025-02-18 22:31:01,130 [DEBUG] views - Processing hotel: Grand Hyatt San Francisco | Location: (37.78905, -122.40727)
2025-02-18 22:31:01,130 [DEBUG] views - Processing hotel: San Francisco Marriott Marquis | Location: (37.78497, -122.40396)
2025-02-18 22:31:01,130 [DEBUG] views - Processing hotel: JW Marriott San Francisco Union Square | Location: (37.78819, -122.41043)
2025-02-18 22:31:01,130 [DEBUG] views - Processing hotel: San Francisco Marriott Union Square | Location: (37.78937, -122.40826)
2025-02-18 22:31:01,134 [DEBUG] views - Processing hotel: Petite Auberge | Location: (37.78973, -122.41147)
2025-02-18 22:31:01,134 [DEBUG] views - Processing hotel: White Swan Inn | Location: (37.7897, -122.4112)
2025-02-18 22:31:01,134 [DEBUG] views - Processing hotel: Canopy by Hilton San Francisco SoMa | Location: (37.78243, -122.40214)
2025-02-18 22:31:01,134 [DEBUG] views - Processing hotel: Hotel Stratford San Francisco - Handwritten Collection | Location: (37.78703, -122.40803)
2025-02-18 22:31:01,134 [DEBUG] views - Processing hotel: The Westin St Francis San Francisco on Union Square | Location: (37.7877, -122.4085)
2025-02-18 22:31:01,135 [DEBUG] views - Processing hotel: Chancellor Hotel on Union Square | Location: (37.78869, -122.40859)
2025-02-18 22:31:01,135 [DEBUG] views - Processing hotel: Hotel Emblem San Francisco | Location: (37.7892, -122.4098)
2025-02-18 22:31:01,135 [DEBUG] views - Processing hotel: Beacon Grand | Location: (37.7888, -122.40836)
2025-02-18 22:31:01,135 [DEBUG] views - Processing hotel: Inn at Union Square | Location: (37.78821, -122.40904)
2025-02-18 22:31:01,650 [DEBUG] views - Processing hotel: Hotel Triton | Location: (37.79034, -122.4054)
2025-02-18 22:31:01,653 [DEBUG] views - Processing hotel: Galleria Park Hotel | Location: (37.78969, -122.40345)
2025-02-18 22:31:01,653 [DEBUG] views - Processing hotel: Fairmont San Francisco | Location: (37.79238, -122.41066)
2025-02-18 22:31:01,653 [DEBUG] views - Processing hotel: Hyatt Regency San Francisco Downtown SOMA | Location: (37.7866, -122.40307)
2025-02-18 22:31:01,653 [DEBUG] views - Processing hotel: INTERCONTINENTAL MARK HOPKINS | Location: (37.7917, -122.41055)
